BM,VM,BH,AS,DC,EN,AP,LN,GS,ME,GC,LH,PE,PS,MD1,LC,EE,AF,LB,MD2,CP,UT,R,US
13,59,1,25,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0
11,92,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0
20,160,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0
29,193,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0
23,120,5,19,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,24,12,0,0
25,55,2,17,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,16,0,0
30,73,0,25,2,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,10,4,0,0
29,51,9,14,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0
15,53,4,39,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,26,10,0,0
11,36,2,50,2,0,0,0,4,0,4,0,0,0,1,0,0,0,0,0,13,12,0,0
8,26,0,35,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0
5,24,0,25,1,0,0,2,11,0,0,0,0,0,1,0,1,0,0,0,26,11,0,0
12,38,1,28,2,2,0,0,15,1,1,0,5,0,5,0,0,4,0,6,29,21,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
44,33,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
22,53,0,18,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0
26,59,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0
37,109,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0
22,134,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0
9,32,3,7,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,13,6,0,0
